State,Constituency_total,Constituency_congress,Percentage
West Bengal,42,1,2.380952380952381
Gujarat,26,1,3.8461538461538463
Odisha,21,1,4.761904761904762
Bihar,40,3,7.5
Uttar Pradesh,80,6,7.5
