Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,271294
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,44345
Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,15647
Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,58795
Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,137247
Amethi,37,KISHORI LAL,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,167196
Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,KUNWAR DANISH ALI,Indian National Congress,28670
Aonla,24,NEERAJ MAURYA,Samajwadi Party,DHARMENDRA KASHYAP,Bharatiya Janata Party,15969
Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,161035
Badaun,23,ADITYA YADAV,Samajwadi Party,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,34991
Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,AMARPAL,Samajwadi Party,159459
Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,RAMESH CHANDRA,Samajwadi Party,64227
Ballia,72,SANATAN PANDEY,Samajwadi Party,NEERAJ SHEKHAR,Bharatiya Janata Party,43384
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,R. K. SINGH PATEL,Bharatiya Janata Party,71210
Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,SADAL PRASAD,Indian National Congress,3150
Barabanki,53,TANUJ PUNIA,Indian National Congress,RAJRANI RAWAT,Bharatiya Janata Party,215704
Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,PRAVEEN SINGH ARON,Samajwadi Party,34804
Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994
Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072
Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,DEEPAK,Samajwadi Party,37508
