Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Chandni Chowk,1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,89325,New Delhi
East Delhi,3,HARSH MALHOTRA,Bharatiya Janata Party,KULDEEP KUMAR (MONU),Aam Aadmi Party,93663,New Delhi
New Delhi,4,BANSURI SWARAJ,Bharatiya Janata Party,SOMNATH BHARTI,Aam Aadmi Party,78370,New Delhi
North-East Delhi,2,MANOJ TIWARI,Bharatiya Janata Party,KANHAIYA KUMAR,Indian National Congress,138778,New Delhi
North-West Delhi,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,UDIT RAJ,Indian National Congress,290849,New Delhi
South Delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,New Delhi
West Delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,New Delhi
